epoch,split,instance_count,positive_instance_count,optimization_steps,mean_total_loss,mean_language_loss,mean_activation_loss,mean_selected_layer_distance,learning_rate,elapsed_seconds
1,train,1475,172,185,5899.968196147023,1.0046312773530766,5898.963567266949,21.332805933548233,0.0002,1727.0500030517578
1,validation,185,22,0,5767.8933994114395,0.9869704058041444,5766.906418918919,21.485726454451278,0.0,87.6275429725647
2,train,1475,172,185,5503.325471721827,1.0140759954008005,5502.311392346398,20.591063284146582,0.0002,1191.5605671405792
2,validation,185,22,0,5467.883131702043,0.9941804494406726,5466.888935810811,20.902171016383814,0.0,80.36267018318176
3,train,1475,172,185,5046.246735166877,1.0214548121670546,5045.225299920551,19.723163832325046,0.0002,1203.417759180069
3,validation,185,22,0,5201.284236711666,1.0029669071371492,5200.28133445946,20.370857816129117,0.0,83.12696290016174
