property,output_positive_rate_pretrained,output_positive_rate_steering,output_rate_change,output_improved,centroid_distance_pretrained,centroid_distance_steering,cosine_similarity_pretrained,cosine_similarity_steering,activation_improved,reference_patch_nll_pretrained,reference_patch_nll_steering,relative_nll_change,capability_tolerance,capability_preserved,activation_steering_supported
coupling,0.0,0.005405405405405406,0.005405405405405406,True,7.214084202534444,6.555919993245924,0.8783077775223835,0.8934943258057575,True,0.9411237550652191,0.9443014024544224,0.00337643946622422,0.05,True,True
complexity,0.0,0.005405405405405406,0.005405405405405406,True,36.144324752446764,33.9946743559193,0.9129554919621631,0.9252953899671903,True,0.9411237550652191,0.9619430489858989,0.02212173883469456,0.05,True,True
modularity,0.010810810810810811,0.02702702702702703,0.016216216216216217,True,20.85545066885046,16.874902727797227,0.9004371538657594,0.9252462744385609,True,0.9411237550652191,0.9945295485053057,0.05674683393406183,0.05,False,False
