property,model,positive_count,instance_count,positive_rate,parseable_output_rate,change_from_pretrained
coupling,pretrained,0,185,0.0,0.22162162162162163,0.0
coupling,coupling_activation_steering,1,185,0.005405405405405406,0.17297297297297298,0.005405405405405406
complexity,pretrained,0,185,0.0,0.22162162162162163,0.0
complexity,complexity_activation_steering,1,185,0.005405405405405406,0.1891891891891892,0.005405405405405406
modularity,pretrained,2,185,0.010810810810810811,0.22162162162162163,0.0
modularity,modularity_activation_steering,5,185,0.02702702702702703,0.2594594594594595,0.016216216216216217
