property_name,layer,train_size,validation_size,positive_train,positive_validation,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,centroid_distance,cosine_separation,fisher_ratio,composite_score
coupling,0,1180,295,154,39,0.7322033898305085,0.4870793269230769,0.11538461538461539,0.15384615384615385,0.13186813186813187,0.5370592948717948,0.15518807695369977,0.00022184150943027614,0.0006045647165571947,0.43160104658250087
coupling,1,1180,295,154,39,0.7491525423728813,0.551181891025641,0.19298245614035087,0.28205128205128205,0.22916666666666666,0.6074719551282052,0.1758427117198493,0.00021970974044527303,0.0006759205436679884,0.488307449405245
coupling,2,1180,295,154,39,0.7559322033898305,0.5333533653846154,0.17647058823529413,0.23076923076923078,0.2,0.5718149038461539,0.21352086235517145,0.0002335714070161865,0.0008551820984707953,0.4669400667465026
coupling,3,1180,295,154,39,0.7152542372881356,0.48818108974358976,0.11864406779661017,0.1794871794871795,0.14285714285714285,0.5007011217948718,0.26765327748355183,0.0002787776116678353,0.0011249551712508453,0.41950449116037575
coupling,4,1180,295,154,39,0.7423728813559322,0.4929387019230769,0.12244897959183673,0.15384615384615385,0.13636363636363635,0.51171875,0.306806782225551,0.0002757179126939846,0.0012637700589328215,0.4257602397055398
coupling,5,1180,295,154,39,0.7898305084745763,0.5311498397435898,0.1891891891891892,0.1794871794871795,0.18421052631578946,0.5372596153846154,0.3499378541986775,0.00031523481269157827,0.0013591742316293094,0.45381938466408617
coupling,6,1180,295,154,39,0.6915254237288135,0.4527744391025641,0.08064516129032258,0.1282051282051282,0.09900990099009901,0.45602964743589747,0.4055202988582444,0.00036622991305002017,0.0015148808679285608,0.38622448457510694
coupling,7,1180,295,154,39,0.7322033898305085,0.5088141025641025,0.14285714285714285,0.20512820512820512,0.16842105263157894,0.48667868589743585,0.495022301720422,0.00040179633046022456,0.0017595518050907426,0.4250080605292408
coupling,8,1180,295,154,39,0.7389830508474576,0.545322516025641,0.18333333333333332,0.28205128205128205,0.2222222222222222,0.5102163461538461,0.5521085249276108,0.000454413461809855,0.0018587093504816138,0.4515152683106049
coupling,9,1180,295,154,39,0.7559322033898305,0.5333533653846154,0.17647058823529413,0.23076923076923078,0.2,0.5307491987179487,0.6439669766460977,0.0004988158709622326,0.0020227020479731956,0.452741695091073
coupling,10,1180,295,154,39,0.7694915254237288,0.5520332532051282,0.20408163265306123,0.2564102564102564,0.22727272727272727,0.5227363782051282,0.7142151122983195,0.0005267897671136224,0.0020879247501881916,0.45928689513490223
coupling,11,1180,295,154,39,0.7491525423728813,0.4968449519230769,0.1276595744680851,0.15384615384615385,0.13953488372093023,0.5445713141025641,0.8267139266221739,0.0005507710531765797,0.002195207727894697,0.43935099579938425
coupling,12,1180,295,154,39,0.7389830508474576,0.5018529647435898,0.1346153846153846,0.1794871794871795,0.15384615384615385,0.5481770833333333,0.8961037874730878,0.0005169749405461443,0.002130692382886573,0.44310738586625853
coupling,13,1180,295,154,39,0.7491525423728813,0.4859775641025641,0.1111111111111111,0.1282051282051282,0.11904761904761904,0.5703125,0.995589351318881,0.0005266120954304787,0.002148377847379887,0.44291972288347864
coupling,14,1180,295,154,39,0.7627118644067796,0.5155248397435898,0.15555555555555556,0.1794871794871795,0.16666666666666666,0.6186899038461539,1.0945515211420072,0.0005285161787774717,0.0021466979216257062,0.47462520114011697
coupling,15,1180,295,154,39,0.7559322033898305,0.5116185897435898,0.14893617021276595,0.1794871794871795,0.16279069767441862,0.6021634615384615,1.1864714086409982,0.0004904537761087902,0.0021381123774837345,0.46688653900123495
coupling,16,1180,295,154,39,0.7627118644067796,0.47205528846153844,0.08108108108108109,0.07692307692307693,0.07894736842105263,0.5893429487179487,1.3022239629957535,0.0004622102936063799,0.00210708615148682,0.4426130746332762
coupling,17,1180,295,154,39,0.7728813559322034,0.5322516025641025,0.18181818181818182,0.20512820512820512,0.1927710843373494,0.5652043269230769,1.4545607172324926,0.00042856622150366785,0.0020339130580292737,0.4642517834030061
coupling,18,1180,295,154,39,0.7694915254237288,0.4976963141025641,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.5276442307692308,1.657721547103947,0.00042326741876086427,0.0020821559287865347,0.43383531225505906
coupling,19,1180,295,154,39,0.7627118644067796,0.48292267628205127,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.5261418269230769,1.8400477359957796,0.00040351894044854397,0.0020721195929068554,0.42592115278289044
coupling,20,1180,295,154,39,0.7661016949152543,0.5174779647435898,0.1590909090909091,0.1794871794871795,0.1686746987951807,0.5095152243589745,2.121545657246396,0.0003354441666253427,0.002116611458836307,0.4373861320290239
coupling,21,1180,295,154,39,0.7694915254237288,0.5194310897435898,0.16279069767441862,0.1794871794871795,0.17073170731707318,0.5364583333333333,2.3583000379138293,0.0002751201200875686,0.0019862744086674065,0.44777331207999055
coupling,22,1180,295,154,39,0.7627118644067796,0.5155248397435898,0.15555555555555556,0.1794871794871795,0.16666666666666666,0.5558894230769231,2.54272856103375,0.00022200076429590432,0.0017875175192271335,0.4525913671489676
coupling,23,1180,295,154,39,0.7694915254237288,0.5411658653846154,0.19148936170212766,0.23076923076923078,0.20930232558139536,0.5618990384615384,6.070064321321197,0.00014163207547635004,0.0020085834653033614,0.46754827972559115
complexity,0,1180,295,138,34,0.7864406779661017,0.5339756592292089,0.16279069767441862,0.20588235294117646,0.18181818181818182,0.5406806400721208,0.40437398776056377,0.0015143739618866947,0.004026874982103301,0.45682766228436256
complexity,1,1180,295,138,34,0.7796610169491526,0.5429344151453684,0.1702127659574468,0.23529411764705882,0.19753086419753085,0.5795019157088123,0.43471899256271546,0.0013900446894690166,0.004036213482068126,0.47489587626364294
complexity,2,1180,295,138,34,0.7830508474576271,0.5576402974983097,0.1875,0.2647058823529412,0.21951219512195122,0.5493576741041244,0.4740937171113916,0.0012217075681740797,0.004094920415009654,0.4717070677496374
complexity,3,1180,295,138,34,0.7728813559322034,0.551893171061528,0.17647058823529413,0.2647058823529412,0.21176470588235294,0.5480054090601758,0.5152464620930522,0.0011006288555740484,0.004048713719050952,0.4683533368621514
complexity,4,1180,295,138,34,0.7694915254237288,0.5243971151679062,0.14583333333333334,0.20588235294117646,0.17073170731707318,0.5023664638269101,0.5668734731488588,0.0009784431140286154,0.004179058859658678,0.4386510699746131
complexity,5,1180,295,138,34,0.7728813559322034,0.5391029975208474,0.16326530612244897,0.23529411764705882,0.1927710843373494,0.5403989181879648,0.6195922034089837,0.0009842938094036802,0.00414172054532413,0.4593098157436599
complexity,6,1180,295,138,34,0.7559322033898305,0.4783637592968222,0.08695652173913043,0.11764705882352941,0.1,0.5397791300428217,0.6821192415656299,0.0010028407177364862,0.0041751226930909855,0.4287282396914385
complexity,7,1180,295,138,34,0.7559322033898305,0.4783637592968222,0.08695652173913043,0.11764705882352941,0.1,0.5313274735181428,0.7589447820943408,0.0009298879327784837,0.004019664367050707,0.42574703108285183
complexity,8,1180,295,138,34,0.7728813559322034,0.4879423033581249,0.0975609756097561,0.11764705882352941,0.10666666666666667,0.517579445571332,0.8162460674019886,0.0009290763593179374,0.003953300236951574,0.4257146176083352
complexity,9,1180,295,138,34,0.8033898305084746,0.5435542032905116,0.18421052631578946,0.20588235294117646,0.19444444444444445,0.6352265043948614,0.9469329814088481,0.0009817795674723628,0.004229304953038382,0.494738102173015
complexity,10,1180,295,138,34,0.8101694915254237,0.5601757944557133,0.21052631578947367,0.23529411764705882,0.2222222222222222,0.5946585530764029,1.0290475648109756,0.0010390402284102818,0.0041731929533632365,0.48884176827314313
complexity,11,1180,295,138,34,0.7762711864406779,0.541018706333108,0.16666666666666666,0.23529411764705882,0.1951219512195122,0.6240703177822853,1.2093884191779936,0.001104249479264796,0.004545099259677683,0.4896126446103401
complexity,12,1180,295,138,34,0.8033898305084746,0.5691345503718729,0.21428571428571427,0.2647058823529412,0.23684210526315788,0.6286905566824431,1.318763488375782,0.001054883979753729,0.004492125000552862,0.5052797754331292
complexity,13,1180,295,138,34,0.7762711864406779,0.541018706333108,0.16666666666666666,0.23529411764705882,0.1951219512195122,0.605814739688979,1.4898462357947797,0.0011094971444215451,0.0046914150833067885,0.4832449383298149
complexity,14,1180,295,138,34,0.7966101694915254,0.5780933062880325,0.21739130434782608,0.29411764705882354,0.25,0.5980392156862746,1.7146104718239712,0.0012163083396978802,0.005157502336598574,0.4991300344828643
complexity,15,1180,295,138,34,0.7389830508474576,0.519945909398242,0.13559322033898305,0.23529411764705882,0.17204301075268819,0.5866576515663737,1.8701941495759122,0.0011752758555159115,0.005220719435113256,0.46608217350937176
complexity,16,1180,295,138,34,0.7389830508474576,0.5071557358575615,0.12280701754385964,0.20588235294117646,0.15384615384615385,0.5819247239125536,2.1259036978088592,0.0011666340476861325,0.005518285020594755,0.4580747213984812
complexity,17,1180,295,138,34,0.7728813559322034,0.551893171061528,0.17647058823529413,0.2647058823529412,0.21176470588235294,0.5634437683119226,2.4271257401368223,0.0011465346931378573,0.005569120449388196,0.4739826460074931
complexity,18,1180,295,138,34,0.7898305084745763,0.5486815415821501,0.18181818181818182,0.23529411764705882,0.20512820512820512,0.557471264367816,2.824624542283428,0.0011962341818788635,0.0059586736676390945,0.47034422004830984
complexity,19,1180,295,138,34,0.7898305084745763,0.49752084741942754,0.1111111111111111,0.11764705882352941,0.11428571428571428,0.5280594996619338,3.117295411968685,0.0011426814154970044,0.005887752068306919,0.43445924199416347
complexity,20,1180,295,138,34,0.7966101694915254,0.5013522650439486,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.5620915032679739,3.4708175450118834,0.0009143383242294911,0.005640495079356032,0.4482494874169871
complexity,21,1180,295,138,34,0.8203389830508474,0.5915032679738562,0.2564102564102564,0.29411764705882354,0.273972602739726,0.5765156637367591,3.9468112406269533,0.0007798051159275676,0.005582390169252885,0.49836482630799017
complexity,22,1180,295,138,34,0.823728813559322,0.5934189767861168,0.2631578947368421,0.29411764705882354,0.2777777777777778,0.5972503944106379,4.331996181839148,0.00065148844209717,0.005243284869680836,0.5065295168713062
complexity,23,1180,295,138,34,0.823728813559322,0.6062091503267973,0.275,0.3235294117647059,0.2972972972972973,0.5922920892494928,8.445946696629056,0.00031685541300752185,0.003984923235641007,0.51100217239827
modularity,0,1180,295,283,71,0.6067796610169491,0.5005658953722334,0.2413793103448276,0.29577464788732394,0.26582278481012656,0.4861670020120724,0.4119724679375181,0.0014561721982989662,0.00417588541127633,0.4210651763766406
modularity,1,1180,295,283,71,0.6305084745762712,0.4921403420523139,0.22857142857142856,0.22535211267605634,0.22695035460992907,0.47330860160965793,0.4539954654376355,0.0013632749748396789,0.004398565277296902,0.4123850769838594
