property,model,token_count,mean_reference_patch_nll,reference_patch_perplexity,relative_nll_change
complexity,pretrained,117834,0.9411237550652191,2.5628598274254757,0.0
complexity,complexity_merged,117834,0.8985217240195903,2.4559698251177777,-0.045267193412492794
coupling,pretrained,117834,0.9411237550652191,2.5628598274254757,0.0
coupling,coupling_merged,117834,0.90141058674868,2.4630750428673003,-0.04219760483443216
modularity,pretrained,117834,0.9411237550652191,2.5628598274254757,0.0
modularity,modularity_merged,117834,0.9578657329761826,2.6061283597979257,0.017789347916102004
