property,output_positive_rate_pretrained,output_positive_rate_merged,output_rate_change,output_improved,centroid_distance_pretrained,centroid_distance_merged,cosine_similarity_pretrained,cosine_similarity_merged,activation_improved,reference_patch_nll_pretrained,reference_patch_nll_merged,relative_nll_change,capability_tolerance,capability_preserved,permanent_adaptation_supported
complexity,0.0,0.0,0.0,False,36.144324752446764,53.94610080718994,0.9129554919621631,0.9369949773155354,False,0.9411237550652191,0.8985217240195903,-0.045267193412492794,0.05,True,False
coupling,0.0,0.02702702702702703,0.02702702702702703,True,7.214084202534444,2.690478382561658,0.8783077775223835,0.9521862113797988,True,0.9411237550652191,0.90141058674868,-0.04219760483443216,0.05,True,True
modularity,0.010810810810810811,0.05405405405405406,0.043243243243243246,True,20.85545066885046,3.101010463849918,0.9004371538657594,0.9954004730727222,True,0.9411237550652191,0.9578657329761826,0.017789347916102004,0.05,True,True
