property,subset,layer,model,count,centroid_distance,cosine_similarity,activation_norm
complexity,all,23,pretrained,185,78.40113552196605,0.9370584792784742,308.3231097247149
complexity,all,23,complexity_merged,185,173.0911703573691,0.9764012420499647,443.3993672138936
complexity,all,22,pretrained,185,38.327456922788876,0.9302065864104677,124.77999498521959
complexity,all,22,complexity_merged,185,16.878828662150614,0.9862048712936607,116.37119874696474
complexity,all,12,pretrained,185,12.505731531091639,0.893998873173385,30.475947498630834
complexity,all,12,complexity_merged,185,12.024237447171599,0.88680000957605,23.66367712278624
complexity,all,14,pretrained,185,15.342975033940496,0.8905580289863252,36.6979686118461
complexity,all,14,complexity_merged,185,13.790166762068464,0.8985737863424662,27.72392534823031
complexity,positive_reference,23,pretrained,22,90.46686952764338,0.8972847637805071,302.52842018821025
complexity,positive_reference,23,complexity_merged,22,173.5115765658292,0.9734257540919564,441.4674724232067
complexity,positive_reference,22,pretrained,22,43.30433481389826,0.8940143950114195,122.69915563409978
complexity,positive_reference,22,complexity_merged,22,21.496613589200106,0.9590124514969912,114.90000187266956
complexity,positive_reference,12,pretrained,22,13.943942590193315,0.8663373100148006,30.785725940357555
complexity,positive_reference,12,complexity_merged,22,13.23815935308283,0.8592013797976754,24.272703170776367
complexity,positive_reference,14,pretrained,22,16.931476202878084,0.8630261939357627,36.9568398215554
complexity,positive_reference,14,complexity_merged,22,15.098921992562033,0.8722321702675386,28.38073036887429
coupling,all,1,pretrained,185,4.497523124797924,0.8625025773370588,9.29351903039056
coupling,all,1,coupling_merged,185,2.74219132951788,0.9228286448362711,8.044721430701179
coupling,all,10,pretrained,185,9.930645280270964,0.8941129777077083,24.17061184032543
coupling,all,10,coupling_merged,185,2.638765435605436,0.9815437779233263,20.930765688097154
coupling,positive_reference,1,pretrained,24,4.9292866587638855,0.8328338110198578,9.39418343702952
coupling,positive_reference,1,coupling_merged,24,3.4335081974665322,0.8838814732929071,8.246780812740326
coupling,positive_reference,10,pretrained,24,10.543224930763245,0.8826418360695243,24.19168980916341
coupling,positive_reference,10,coupling_merged,24,3.8263912051916122,0.9572727270424366,21.35672990481059
modularity,all,12,pretrained,185,12.485854819014266,0.8944837182961606,30.475947498630834
modularity,all,12,modularity_merged,185,3.6967085864092852,0.9882261827185347,25.730024739858266
modularity,all,17,pretrained,185,20.824097860181652,0.9008972419878921,53.13342905817805
modularity,all,17,modularity_merged,185,3.132089296547142,0.9969760727238011,46.64560115917309
modularity,all,19,pretrained,185,26.457867483190586,0.9038479438303291,68.21695028769004
modularity,all,19,modularity_merged,185,2.7444294053155023,0.9984206402623975,60.21299298260663
modularity,all,18,pretrained,185,23.653982513015336,0.902519711348656,60.62096656593116
modularity,all,18,modularity_merged,185,2.830814567127743,0.9979789965861553,53.23551474906303
modularity,positive_reference,12,pretrained,44,13.156251430511475,0.8781135889108885,30.4248929457231
modularity,positive_reference,12,modularity_merged,44,4.095505600625819,0.9834185432304036,25.680706197565254
modularity,positive_reference,17,pretrained,44,22.044588392431084,0.8847116632387042,53.57978066531095
modularity,positive_reference,17,modularity_merged,44,3.5988634445450525,0.99498096650297,46.538667765530676
modularity,positive_reference,19,pretrained,44,27.863064202395353,0.8875878357582472,68.66764224659313
modularity,positive_reference,19,modularity_merged,44,3.2631752599369395,0.9971237060698596,60.083147915926844
modularity,positive_reference,18,pretrained,44,24.93674677068537,0.8867859991521321,61.08860492706299
modularity,positive_reference,18,modularity_merged,44,3.329674639485099,0.9963942021131516,53.12548984180797
